feature_id	rna_sample_001	rna_sample_002	rna_sample_003	rna_sample_004	rna_sample_005	rna_sample_006	rna_sample_007	rna_sample_008	rna_sample_009	rna_sample_010	rna_sample_011	rna_sample_012	rna_sample_013	rna_sample_014	rna_sample_015	rna_sample_016	rna_sample_017	rna_sample_018	rna_sample_019	rna_sample_020	rna_sample_021	rna_sample_022	rna_sample_023	rna_sample_024
rna_feature_0001	-1.82718714053038	-1.15835926998214	0.332972605114284	1.09957238847118	-1.75938874961012	-0.013427824795342	0.0695793258918597	0.620370534865312	1.43692477731918	0.982442844819695	-0.555898496772786	1.57654760687357	-1.80625884808748	-0.80122138420699	-0.26704976821505	-0.81607114629559	0.0498357328906975	-0.285212543439975	0.654762965665661	1.2755912136045	-0.879272219344737	0.539305004861171	0.746137745200891	3.24855056721717
rna_feature_0002	1.76908015534352	3.28267131805219	-0.791877127356215	1.05485881506356	-0.22232404251705	2.40696252054094	-0.930322131788097	0.128765099683179	-1.31535178033162	0.568180315651443	-2.24553862313619	-0.863953558078263	0.596011473515562	1.35871886371101	0.129818401867854	1.24582692441729	0.684483724237136	1.01996468820786	-0.522109055270077	1.12627203076489	-0.785180774882299	-0.676625020134119	-2.58949585025216	-0.0901894919201123
rna_feature_0003	3.29701739401741	0.345532496865649	1.8047205008165	0.396705474075323	2.31740628788349	-0.967376572541296	2.50650365099291	-2.81034982597192	-0.199474709882591	-2.37479155093846	-0.858337689214113	-2.2031137895301	2.19913361103406	-0.400668396620849	2.07863151643319	1.81967559177086	1.84411471500896	-1.12300585612662	1.14221154503827	-2.20742029544989	-0.0867350460015825	-2.85034586490889	-0.391900699030721	-1.59089646993277
rna_feature_0004	3.46569088623942	2.09690254891958	1.35061253780167	-2.27759739662626	0.889885278195223	-0.743130791462465	-0.0501317794864193	-1.12923994096055	1.03705248999294	-0.704935927276097	-2.28827080903393	-1.8306787439148	0.663183157422129	-0.361502220357466	1.22924594907247	0.70442172967369	1.54905157060989	0.922635815085209	-1.30237210828295	-1.12102234848168	0.0438923303898073	-1.32118558891256	-2.16208658593505	-1.61866694501727
rna_feature_0005	2.0470553769386	2.62459270159056	-1.60365271842668	-3.89333375089218	0.673597035549783	-0.0950437795922216	-1.41440706067065	-0.897683769246171	3.51902868552941	1.86459726757743	1.0748063510711	-1.8726863559833	2.76369859916345	-0.583479825469415	-1.17671009652442	-3.95383653050203	0.374833056281299	0.62064012145723	0.44557160778951	-1.52358963659744	3.22955686569896	1.46642108024478	0.79975523016913	-1.94031462797044
rna_feature_0006	-2.72629524102181	-6.03643643455205	5.75645169408594	3.92554114823676	-2.82714130856215	-1.13535691601858	5.2691505536099	2.99755856394826	-4.98897004276246	-6.11745270825912	3.15530676418092	0.729872358198519	0.200627932171285	-1.89412463308282	5.35874675286068	3.09591960874752	-0.467090691174428	-4.79528469786666	2.77026163463114	3.00250771649218	-5.52388692344196	-2.64945712594433	2.16711767112682	0.630326692023489
rna_feature_0007	-4.67833002005895	-0.111155737082852	-1.38026003944716	1.51142428378541	-3.09029164878639	0.202107484013035	-1.13380511127416	2.34620405600529	-1.12934067932907	1.63318736266497	1.75229955220992	2.79748336990224	-3.81578854754277	0.207786601487588	-1.84365487448749	0.541314373165594	-1.99605763513679	1.74740654795898	1.15026422501166	1.63491690008406	-3.31655498817336	1.50704132749294	0.32383711471094	2.92191015408111
rna_feature_0008	4.45337457369656	2.76081658671962	0.835295523067168	-1.14108401539595	1.24802915423574	-0.653458896832633	0.334702919259466	-2.80783933087695	-0.281650208467627	-1.57875878286659	-1.6907538638965	-2.77924606757778	1.52271078744479	1.74734558569539	1.78207528245396	1.0596808317132	-0.502606983657236	0.384074170405895	-0.476291161790289	-1.23405973800601	-0.286708132548604	-1.5772162630981	-2.40762943087376	-2.8407170091692
rna_feature_0009	-2.9779434508563	-2.04070953545954	-1.13493884759431	-0.203378272203843	-2.01902642235915	0.84505428682492	-0.304683319683861	2.61964635834136	0.698053466530632	1.18229282999788	1.52731822774622	1.32123062939079	-3.37203627800808	-1.00368818234942	-1.34564859421494	-1.5489326646156	-1.430449403783	0.0348788074196741	-1.11817802251107	-0.269051398338837	0.082351586477476	1.28226872421609	1.51221367129826	2.95167637946727
rna_feature_0010	-5.66999183690777	-7.87128624836004	2.49400227445534	4.8054984961915	-3.89874638365696	-2.44583131343896	4.07793339218586	4.34758258134791	-1.30814491745341	-2.30301739394594	4.89395983933848	3.00120707755524	-3.23818717872853	-4.58694880690005	-1.26102637030604	0.662328839395395	-1.0618626221344	-2.34063709068223	3.02442674830741	2.41499634006902	-3.8299229170892	0.667182225631739	5.30213887953743	4.19623222264565
rna_feature_0011	0.33856736422684	2.32006415289515	-1.67815467384464	1.39331167826675	-0.799137567065393	1.65096465364993	-1.06262764254724	0.22350771027834	-1.81034894641464	2.43835523624091	-3.25126489528154	0.376231645014701	-0.701635771958422	2.64389797501267	-0.421264531163712	1.6208374288565	-1.25864274816005	1.26408344549064	-2.10145793448406	0.238023361276144	-0.288781742630108	1.30928335631133	-1.00804371423675	-0.0356330941845708
rna_feature_0012	0.979349111462073	0.141961924460627	0.263936048646636	0.724070299730509	1.02283264012999	0.883818769417736	-0.611778304399198	-0.132313143864589	0.312508388304874	-0.135630624919865	-0.582243241616369	0.396068078723535	1.00614770681278	0.732154808967032	-0.190719274034621	1.27756427995212	0.120421576709128	0.312727094587296	-1.62311991343795	1.03706947583251	-0.917640963945947	-0.300599151973795	-1.26474602625715	-0.27438806234181
rna_feature_0013	-7.16437170206173	-2.68894332550637	-3.88642577863088	3.24199585300494	-5.22614893571022	1.78956486427946	0.68863791622202	3.42969724162192	-0.982072670947173	3.62748980663618	1.0495148497921	5.0706053941426	-6.07029083662923	0.959809280757761	-5.27914417436044	-0.0557422474807375	-3.85358167265607	2.06358485176001	-0.693110523758938	1.11343528505111	-2.20304159306137	3.5241067218478	1.97930899803538	5.6017830636827
